iso3,lat,lon,adminid,pop,closest_dist_0,closest_dist_1,closestid0,closestid1,id
COL,1.3125,-78.1875,COL.21.5_1_gadm36,334.8148499,3376.030883,3376.030883,541213,541213,292
COL,1.395833333,-78.1875,COL.21.5_1_gadm36,334.8031616,2867.141541,2867.141541,1023144,1023144,293
COL,1.5625,-78.1875,COL.21.5_1_gadm36,334.7776489,1210.18947,1210.18947,1010487,1010487,295
COL,1.645833333,-78.1875,COL.21.5_1_gadm36,326.1792603,1067.193854,1067.193854,540693,540693,296
COL,1.729166667,-78.14583333,COL.21.5_1_gadm36,369.8938599,949.4272402,949.4272402,541232,541232,314
COL,1.3125,-78.14583333,COL.21.5_1_gadm36,338.7030334,4715.641367,4715.641367,1010866,1010866,317
COL,1.479166667,-78.14583333,COL.21.5_1_gadm36,338.6786804,7647.537086,7647.537086,540694,540694,319
COL,1.5625,-78.14583333,COL.21.5_1_gadm36,338.6654053,2338.115789,2338.115789,1010472,1010472,320
COL,1.645833333,-78.14583333,COL.21.5_1_gadm36,333.3835449,2820.523226,2820.523226,1010498,1010498,321
COL,1.6875,-78.22916667,COL.21.5_1_gadm36,392.4205017,541.7864488,541.7864488,681696,681696,264
COL,0.9375,-78.14583333,COL.21.14_1_gadm36,938.2150879,3684.146508,3684.146508,985165,985165,299
COL,1.229166667,-78.27083333,COL.21.46_1_gadm36,352.0834656,7013.706737,7013.706737,540696,540696,245
COL,1.3125,-78.27083333,COL.21.46_1_gadm36,426.2783508,2311.370409,2311.370409,540696,540696,246
COL,1.0625,-78.22916667,COL.21.46_1_gadm36,444.8149719,2982.169537,2982.169537,1010408,1010408,257
COL,1.145833333,-78.22916667,COL.21.46_1_gadm36,395.0678101,1008.977636,1008.977636,1010142,1010142,259
COL,0.979166667,-78.1875,COL.21.46_1_gadm36,718.7939453,3885.393725,3885.393725,1010353,1010353,272
COL,1.0625,-78.1875,COL.21.46_1_gadm36,416.9954224,1560.365155,1560.365155,1010389,1010389,283
COL,1.145833333,-78.1875,COL.21.46_1_gadm36,385.5679932,4422.796395,4422.796395,1010142,1010142,284
